slip_id,timestamp,slip_type,n_legs,proj_slip_ev_pct,leg_num,player,league,prop,line,side,true_prob,ind_ev_pct,game_start,closing_prob,clv_pct,result,stat_actual
C527E039,2026-04-06T17:06:33+00:00,Flex,5,0.0125,1,Victor Wembanyama,NBA,Rebs+Asts,16.5,under,0.5506,0.018,2026-04-07T00:10:00+00:00,0.5506,0,hit,6
C527E039,2026-04-06T17:06:33+00:00,Flex,5,0.0125,2,Stephon Castle,NBA,Rebs+Asts,13.5,under,0.5467,0.0109,2026-04-07T00:10:00+00:00,0.5467,0,miss,23
C527E039,2026-04-06T17:06:33+00:00,Flex,5,0.0125,3,Mikal Bridges,NBA,Rebs+Asts,6.5,over,0.5428,0.0036,2026-04-06T23:10:00+00:00,0.5428,0,hit,7
C527E039,2026-04-06T17:06:33+00:00,Flex,5,0.0125,4,Germán Márquez,MLB,Pitcher Strikeouts,3.5,under,0.5419,0.0019,2026-04-06T22:40:00+00:00,0.5419,0,miss,4
C527E039,2026-04-06T17:06:33+00:00,Flex,5,0.0125,5,Corey Seager,MLB,Hits+Runs+RBIs,1.5,over,0.5402,-0.0011,2026-04-07T00:05:00+00:00,0.5402,0,hit,4
CB75C5EC,2026-04-06T19:27:25+00:00,Flex,5,0.1153,1,Walter Clayton,NBA,3-PT Made,1.5,under,0.5894,0.0898,2026-04-07T00:10:00+00:00,0.5894,0,miss,2
CB75C5EC,2026-04-06T19:27:25+00:00,Flex,5,0.1153,2,Jared McCann,NHL,Points,0.5,under,0.561,0.0373,2026-04-06T23:38:00+00:00,0.561,0,miss,1
CB75C5EC,2026-04-06T19:27:25+00:00,Flex,5,0.1153,3,De'Aaron Fox,NBA,Rebs+Asts,9.5,under,0.5595,0.0345,2026-04-07T00:10:00+00:00,0.5595,0,hit,4
CB75C5EC,2026-04-06T19:27:25+00:00,Flex,5,0.1153,4,De'Aaron Fox,NBA,Assists,5.5,over,0.5452,0.008,2026-04-07T00:10:00+00:00,0.5452,0,miss,4
CB75C5EC,2026-04-06T19:27:25+00:00,Flex,5,0.1153,5,Joel Embiid,NBA,Rebs+Asts,12.5,under,0.5428,0.0036,2026-04-07T00:10:00+00:00,0.5428,0,miss,13
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,1,Denzel Clarke,MLB,Hits+Runs+RBIs,0.5,over,0.5884,0.088,2026-04-07T23:05:00+00:00,0.5884,0,dnp,
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,2,Jeff McNeil,MLB,Hits,0.5,over,0.5751,0.0634,2026-04-07T23:05:00+00:00,0.5751,0,hit,2
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,3,Daniel Schneemann,MLB,Hits+Runs+RBIs,0.5,over,0.5709,0.0556,2026-04-07T17:10:00+00:00,0.5709,0,miss,0
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,4,RJ Barrett,NBA,Rebs+Asts,9.5,under,0.5635,0.0419,2026-04-07T23:40:00+00:00,0.5635,0,miss,10
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,5,Austin Hedges,MLB,Hits+Runs+RBIs,0.5,over,0.5622,0.0396,2026-04-07T17:10:00+00:00,0.5622,0,hit,2
DF27F269,2026-04-07T00:14:54+00:00,Power,6,0.354,6,Lawrence Butler,MLB,Hits,0.5,over,0.5531,0.0227,2026-04-07T23:05:00+00:00,0.5531,0,dnp,
EF925E93,2026-04-07T00:25:42+00:00,Flex,5,0.0061,1,Immanuel Quickley,NBA,Rebs+Asts,8.5,under,0.5458,0.0092,2026-04-07T23:40:00+00:00,0.5458,0,hit,8
EF925E93,2026-04-07T00:25:42+00:00,Flex,5,0.0061,2,Kawhi Leonard,NBA,Rebs+Asts,10.5,under,0.5458,0.0092,2026-04-08T02:40:00+00:00,0.5458,0,hit,7
EF925E93,2026-04-07T00:25:42+00:00,Flex,5,0.0061,3,Draymond Green,NBA,Rebs+Asts,12.5,over,0.5419,0.0019,2026-04-08T02:10:00+00:00,0.5419,0,hit,13
EF925E93,2026-04-07T00:25:42+00:00,Flex,5,0.0061,4,Devin Carter,NBA,Assists,5.5,under,0.5419,0.0019,2026-04-08T02:10:00+00:00,0.5419,0,hit,5
EF925E93,2026-04-07T00:25:42+00:00,Flex,5,0.0061,5,LeBron James,NBA,3-PT Made,1.5,under,0.5419,0.0019,2026-04-08T02:40:00+00:00,0.5419,0,dnp,
BBDEACC8,2026-04-07T00:32:41+00:00,Power,3,0.019,1,Jaylin Williams,NBA,Assists,2.5,under,0.567,0.0484,2026-04-08T02:40:00+00:00,0.567,0,miss,3
BBDEACC8,2026-04-07T00:32:41+00:00,Power,3,0.019,2,Jaylin Williams,NBA,3-PT Made,1.5,under,0.5511,0.0189,2026-04-08T02:40:00+00:00,0.5511,0,hit,0
BBDEACC8,2026-04-07T00:32:41+00:00,Power,3,0.019,3,Joc Pederson,MLB,Hits,0.5,over,0.5435,0.005,2026-04-08T00:05:00+00:00,0.5435,0,hit,1
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,1,Ozzie Albies,MLB,Total Bases,1.5,under,0.6317,0.1681,2026-04-08T01:38:00+00:00,0.6317,0,miss,4
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,2,Aaron Judge,MLB,Total Bases,1.5,under,0.6182,0.1431,2026-04-07T23:05:00+00:00,0.6182,0,dnp,
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,3,Daniel Schneemann,MLB,Hits+Runs+RBIs,0.5,over,0.5652,0.045,2026-04-07T17:10:00+00:00,0.5652,0,miss,0
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,4,Eli White,MLB,Hits,0.5,over,0.5652,0.045,2026-04-08T01:38:00+00:00,0.5652,0,hit,1
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,5,RJ Barrett,NBA,Rebs+Asts,9.5,under,0.5635,0.0419,2026-04-07T23:40:00+00:00,0.5635,0,miss,10
FB0DE767,2026-04-07T00:39:11+00:00,Power,6,0.5808,6,Austin Hedges,MLB,Hits+Runs+RBIs,0.5,over,0.5622,0.0396,2026-04-07T17:10:00+00:00,0.5622,0,hit,2
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,1,Denzel Clarke,MLB,Hits+Runs+RBIs,0.5,over,0.5592,0.034,2026-04-07T23:05:00+00:00,0.5592,0,dnp,
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,2,Chase Meidroth,MLB,Singles,0.5,over,0.5435,0.005,2026-04-07T19:10:00+00:00,0.5435,0,hit,2
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,3,Troy Johnston,MLB,Hits+Runs+RBIs,1.5,over,0.5435,0.005,2026-04-08T00:40:00+00:00,0.5435,0,hit,7
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,4,Ousmane Dieng,NBA,Rebs+Asts,11.5,over,0.5419,0.0019,2026-04-07T23:40:00+00:00,0.5419,0,miss,10
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,5,Quenton Jackson,NBA,Rebs+Asts,7.5,under,0.5379,-0.0054,2026-04-07T23:10:00+00:00,0.5379,0,hit,5
EE99DA6B,2026-04-07T02:46:34+00:00,Flex,6,0.0174,6,Donte DiVincenzo,NBA,Rebs+Asts,6.5,over,0.5379,-0.0054,2026-04-07T23:10:00+00:00,0.5379,0,hit,10
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,1,Alec Burleson,MLB,Total Bases,1.5,under,0.5915,0.0937,2026-04-08T20:05:00+00:00,0.5915,0,miss,3
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,2,Aaron Judge,MLB,Total Bases,1.5,under,0.5646,0.044,2026-04-08T23:05:00+00:00,0.5646,0,hit,1
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,3,David Fry,MLB,Hits+Runs+RBIs,0.5,over,0.5547,0.0256,2026-04-08T17:10:00+00:00,0.5547,0,hit,1
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,4,Isaac Collins,MLB,Hits,0.5,over,0.5531,0.0227,2026-04-08T17:10:00+00:00,0.5531,0,miss,0
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,5,Jackson Merrill,MLB,Total Bases,1.5,under,0.553,0.0224,2026-04-08T16:35:00+00:00,0.553,0,hit,0
BD21AF4E,2026-04-08T00:15:36+00:00,Power,6,0.2393,6,CJ Kayfus,MLB,Hits+Runs+RBIs,0.5,over,0.5468,0.011,2026-04-08T17:10:00+00:00,0.5468,0,hit,2
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,1,Jorbit Vivas,MLB,Hits,0.5,over,0.5751,0.0634,2026-04-08T20:05:00+00:00,0.5751,0,miss,0
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,2,Will Benson,MLB,Hits+Runs+RBIs,0.5,over,0.5484,0.014,2026-04-08T22:40:00+00:00,0.5484,0,miss,0
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,3,Michael Lorenzen,MLB,Earned Runs Allowed,3.5,under,0.5458,0.0092,2026-04-08T19:10:00+00:00,0.5458,0,hit,1
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,4,Sam Merrill,NBA,Points,10.5,under,0.5419,0.0019,2026-04-08T23:10:00+00:00,0.5419,0,hit,6
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,5,De'Aaron Fox,NBA,Rebounds,3.5,under,0.5419,0.0019,2026-04-09T01:40:00+00:00,0.5419,0,miss,5
C0075A6D,2026-04-08T03:31:32+00:00,Power,6,0.0876,6,Devin Vassell,NBA,Points,15.5,under,0.5379,-0.0054,2026-04-09T01:40:00+00:00,0.5379,0,hit,14
D682608C,2026-04-10T17:06:11+00:00,Power,6,0.1089,1,Masataka Yoshida,MLB,Hits+Runs+RBIs,1.5,over,0.5588,0.0333,2026-04-11T00:15:00+00:00,0.5588,0,hit,2
D682608C,2026-04-10T17:06:11+00:00,Power,6,0.1089,2,Liam Hicks,MLB,Singles,0.5,over,0.5539,0.0242,2026-04-10T22:40:00+00:00,0.5539,0,hit,1
